FIR_ID,Crime_Type,Date,District,Police_Station,Location_ID,Status,Offender_ID,Victim_ID
FIR00001,Vehicle Theft,2022-11-25,Kalaburagi,East PS,LOC012,Open,OFF01714,VIC01256
FIR00002,Theft,2022-10-01,Ballari,Traffic PS,LOC023,Open,OFF01979,VIC01076
FIR00003,Drug Offense,2024-09-22,Vijayapura,East PS,LOC001,Open,OFF00132,VIC02503
FIR00004,Kidnapping,2024-11-09,Mangaluru,North PS,LOC098,Open,OFF01397,VIC02146
FIR00005,Financial Fraud,2023-07-03,Belagavi,Cyber PS,LOC022,Closed,OFF00904,VIC00510
FIR00006,Financial Fraud,2023-06-06,Bengaluru Rural,East PS,LOC040,Open,OFF01573,VIC01952
FIR00007,Domestic Violence,2025-09-10,Mysuru,East PS,LOC068,Closed,OFF01840,VIC02683
FIR00008,Theft,2024-04-06,Chikkamagaluru,East PS,LOC080,Open,OFF00308,VIC00168
FIR00009,Assault,2022-08-08,Belagavi,Traffic PS,LOC010,Closed,OFF00861,VIC00602
FIR00010,Kidnapping,2023-05-16,Ballari,East PS,LOC075,Under Investigation,OFF01455,VIC01103
FIR00011,Domestic Violence,2025-03-22,Vijayapura,Central PS,LOC079,Open,OFF01239,VIC00042
FIR00012,Domestic Violence,2024-10-14,Vijayapura,South PS,LOC086,Open,OFF01852,VIC02224
FIR00013,Fraud,2022-02-10,Mangaluru,West PS,LOC002,Under Investigation,OFF00908,VIC00434
FIR00014,Murder,2024-05-09,Belagavi,Cyber PS,LOC053,Closed,OFF01005,VIC00471
FIR00015,Assault,2024-09-12,Kalaburagi,East PS,LOC029,Open,OFF00692,VIC02380
FIR00016,Financial Fraud,2023-09-20,Bengaluru Rural,Cyber PS,LOC097,Closed,OFF01544,VIC02608
FIR00017,Murder,2023-07-11,Ballari,Traffic PS,LOC071,Open,OFF00020,VIC02797
FIR00018,Kidnapping,2024-04-03,Bengaluru Rural,Traffic PS,LOC038,Under Investigation,OFF01081,VIC00804
FIR00019,Fraud,2025-03-01,Tumakuru,West PS,LOC042,Open,OFF00954,VIC01071
FIR00020,Murder,2024-08-24,Davanagere,Central PS,LOC048,Open,OFF01625,VIC02720
FIR00021,Theft,2023-10-28,Bengaluru Rural,West PS,LOC018,Closed,OFF01665,VIC01867
FIR00022,Assault,2024-08-23,Mysuru,Rural PS,LOC027,Under Investigation,OFF01233,VIC01213
FIR00023,Assault,2024-10-06,Davanagere,Rural PS,LOC011,Closed,OFF00390,VIC01231
FIR00024,Financial Fraud,2022-02-03,Shivamogga,Cyber PS,LOC019,Open,OFF01850,VIC00656
FIR00025,Burglary,2025-03-03,Chikkamagaluru,Central PS,LOC084,Open,OFF01411,VIC01804
FIR00026,Assault,2022-03-31,Tumakuru,West PS,LOC042,Closed,OFF00621,VIC02283
FIR00027,Financial Fraud,2024-12-31,Shivamogga,South PS,LOC063,Open,OFF00485,VIC02930
FIR00028,Domestic Violence,2025-10-26,Bengaluru Rural,North PS,LOC046,Closed,OFF00181,VIC01138
FIR00029,Assault,2022-10-05,Ballari,Cyber PS,LOC026,Under Investigation,OFF01785,VIC01862
FIR00030,Fraud,2023-03-24,Hubballi-Dharwad,North PS,LOC099,Open,OFF00037,VIC02361
FIR00031,Theft,2023-06-10,Udupi,North PS,LOC015,Under Investigation,OFF01696,VIC01581
FIR00032,Cyber Crime,2022-09-04,Bengaluru Urban,East PS,LOC054,Under Investigation,OFF01853,VIC01158
FIR00033,Assault,2024-07-10,Davanagere,Central PS,LOC048,Open,OFF01012,VIC02735
FIR00034,Murder,2023-04-30,Vijayapura,Traffic PS,LOC045,Open,OFF01912,VIC01892
FIR00035,Murder,2023-05-28,Chikkamagaluru,East PS,LOC003,Under Investigation,OFF01418,VIC02825
FIR00036,Assault,2025-07-12,Vijayapura,South PS,LOC035,Open,OFF01632,VIC02405
FIR00037,Domestic Violence,2023-07-22,Udupi,Cyber PS,LOC092,Open,OFF01444,VIC02044
FIR00038,Vehicle Theft,2022-01-14,Hubballi-Dharwad,North PS,LOC082,Open,OFF01663,VIC00698
FIR00039,Robbery,2023-11-09,Bengaluru Rural,East PS,LOC040,Open,OFF00193,VIC01029
FIR00040,Assault,2025-04-08,Mysuru,East PS,LOC068,Under Investigation,OFF01929,VIC02591
FIR00041,Drug Offense,2022-01-01,Ballari,Cyber PS,LOC026,Under Investigation,OFF01993,VIC00089
FIR00042,Vehicle Theft,2024-01-01,Chikkamagaluru,Rural PS,LOC051,Under Investigation,OFF01889,VIC02561
FIR00043,Theft,2022-12-03,Hubballi-Dharwad,West PS,LOC034,Under Investigation,OFF00855,VIC00380
FIR00044,Murder,2025-07-08,Ballari,North PS,LOC047,Open,OFF00082,VIC01402
FIR00045,Assault,2023-07-18,Vijayapura,South PS,LOC083,Open,OFF01403,VIC00067
FIR00046,Financial Fraud,2023-04-25,Shivamogga,West PS,LOC056,Open,OFF00155,VIC02598
FIR00047,Assault,2023-01-03,Belagavi,Central PS,LOC090,Open,OFF01089,VIC02206
FIR00048,Cyber Crime,2022-09-29,Hassan,West PS,LOC094,Closed,OFF01655,VIC00151
FIR00049,Vehicle Theft,2025-09-17,Kalaburagi,North PS,LOC043,Open,OFF01661,VIC02770
FIR00050,Theft,2022-10-03,Bengaluru Rural,Cyber PS,LOC097,Open,OFF00573,VIC00064
FIR00051,Fraud,2023-02-23,Kalaburagi,East PS,LOC029,Under Investigation,OFF00171,VIC00073
FIR00052,Burglary,2024-06-03,Mangaluru,East PS,LOC057,Under Investigation,OFF01922,VIC00029
FIR00053,Vehicle Theft,2022-11-22,Vijayapura,Traffic PS,LOC045,Closed,OFF01701,VIC02625
FIR00054,Fraud,2022-12-17,Hubballi-Dharwad,West PS,LOC076,Open,OFF01743,VIC01551
FIR00055,Kidnapping,2022-12-25,Vijayapura,South PS,LOC086,Closed,OFF00886,VIC00627
FIR00056,Burglary,2022-06-23,Bengaluru Urban,Cyber PS,LOC062,Open,OFF00788,VIC02095
FIR00057,Drug Offense,2022-11-11,Udupi,South PS,LOC078,Open,OFF01364,VIC00839
FIR00058,Financial Fraud,2023-04-15,Bengaluru Urban,Central PS,LOC065,Open,OFF00515,VIC00122
FIR00059,Financial Fraud,2024-12-01,Kalaburagi,East PS,LOC012,Under Investigation,OFF00522,VIC02446
FIR00060,Murder,2024-12-23,Mangaluru,East PS,LOC091,Under Investigation,OFF00731,VIC01869
FIR00061,Burglary,2024-07-16,Bengaluru Rural,North PS,LOC004,Under Investigation,OFF00527,VIC02592
FIR00062,Murder,2025-09-14,Mysuru,East PS,LOC068,Open,OFF00929,VIC02624
FIR00063,Burglary,2024-05-20,Udupi,Cyber PS,LOC092,Under Investigation,OFF00977,VIC01377
FIR00064,Fraud,2023-07-26,Davanagere,Traffic PS,LOC095,Closed,OFF00438,VIC02087
FIR00065,Financial Fraud,2023-03-15,Bengaluru Rural,East PS,LOC081,Open,OFF01231,VIC00686
FIR00066,Cyber Crime,2024-04-11,Hubballi-Dharwad,Central PS,LOC085,Closed,OFF01719,VIC00856
FIR00067,Robbery,2024-08-10,Davanagere,Central PS,LOC048,Under Investigation,OFF01940,VIC01560
FIR00068,Theft,2022-09-17,Udupi,North PS,LOC060,Open,OFF01785,VIC02320
FIR00069,Robbery,2024-12-28,Vijayapura,Traffic PS,LOC045,Under Investigation,OFF01228,VIC02722
FIR00070,Kidnapping,2024-03-19,Tumakuru,North PS,LOC005,Under Investigation,OFF00174,VIC00599
FIR00071,Theft,2022-10-04,Udupi,Traffic PS,LOC049,Under Investigation,OFF00557,VIC01351
FIR00072,Assault,2025-01-08,Hassan,East PS,LOC055,Open,OFF00986,VIC02913
FIR00073,Domestic Violence,2022-04-14,Hassan,West PS,LOC041,Under Investigation,OFF01575,VIC01111
FIR00074,Assault,2022-06-01,Bengaluru Urban,North PS,LOC014,Under Investigation,OFF01045,VIC00577
FIR00075,Fraud,2022-06-21,Udupi,Central PS,LOC007,Under Investigation,OFF00108,VIC01525
FIR00076,Cyber Crime,2022-07-11,Davanagere,South PS,LOC025,Closed,OFF00961,VIC02703
FIR00077,Burglary,2025-01-29,Chikkamagaluru,Central PS,LOC084,Open,OFF01319,VIC01170
FIR00078,Vehicle Theft,2024-05-25,Bengaluru Rural,East PS,LOC040,Open,OFF01055,VIC00459
FIR00079,Financial Fraud,2023-03-28,Shivamogga,Central PS,LOC033,Under Investigation,OFF01922,VIC02058
FIR00080,Burglary,2024-11-26,Udupi,Cyber PS,LOC092,Under Investigation,OFF01410,VIC02101
FIR00081,Drug Offense,2022-05-27,Mangaluru,West PS,LOC036,Under Investigation,OFF00479,VIC01768
FIR00082,Robbery,2025-01-24,Kalaburagi,North PS,LOC052,Under Investigation,OFF01167,VIC01627
FIR00083,Burglary,2024-08-01,Bengaluru Rural,East PS,LOC040,Under Investigation,OFF01577,VIC01178
FIR00084,Theft,2023-11-23,Udupi,Cyber PS,LOC092,Open,OFF01477,VIC00123
FIR00085,Kidnapping,2022-02-25,Hassan,West PS,LOC094,Under Investigation,OFF01553,VIC00322
FIR00086,Robbery,2022-03-04,Shivamogga,Traffic PS,LOC016,Closed,OFF01795,VIC02425
FIR00087,Murder,2025-07-28,Udupi,South PS,LOC078,Open,OFF01408,VIC02730
FIR00088,Vehicle Theft,2023-01-25,Mysuru,Central PS,LOC067,Open,OFF01726,VIC01239
FIR00089,Kidnapping,2025-01-08,Kalaburagi,North PS,LOC043,Closed,OFF00933,VIC00836
FIR00090,Financial Fraud,2025-07-15,Bengaluru Rural,West PS,LOC018,Under Investigation,OFF00032,VIC02908
FIR00091,Fraud,2022-11-03,Chikkamagaluru,North PS,LOC077,Closed,OFF01793,VIC02765
FIR00092,Robbery,2025-10-08,Bengaluru Urban,East PS,LOC054,Under Investigation,OFF01934,VIC00896
FIR00093,Cyber Crime,2023-08-17,Kalaburagi,Traffic PS,LOC100,Closed,OFF00906,VIC02157
FIR00094,Domestic Violence,2022-06-24,Shivamogga,South PS,LOC063,Open,OFF01734,VIC02088
FIR00095,Murder,2025-09-30,Mysuru,East PS,LOC068,Under Investigation,OFF00312,VIC02087
FIR00096,Vehicle Theft,2023-08-12,Kalaburagi,Traffic PS,LOC100,Under Investigation,OFF01099,VIC01429
FIR00097,Burglary,2022-11-05,Belagavi,Cyber PS,LOC022,Closed,OFF01839,VIC02732
FIR00098,Theft,2025-06-27,Chikkamagaluru,Central PS,LOC084,Closed,OFF00276,VIC01368
FIR00099,Theft,2024-08-18,Mangaluru,East PS,LOC057,Under Investigation,OFF00323,VIC01899
FIR00100,Theft,2024-08-15,Udupi,Central PS,LOC059,Open,OFF01716,VIC02409
FIR00101,Theft,2022-04-11,Bengaluru Rural,West PS,LOC028,Under Investigation,OFF01887,VIC00061
FIR00102,Drug Offense,2023-05-19,Hassan,Traffic PS,LOC009,Closed,OFF00517,VIC00589
FIR00103,Robbery,2023-12-01,Hubballi-Dharwad,North PS,LOC082,Closed,OFF00264,VIC01958
FIR00104,Cyber Crime,2024-11-22,Hubballi-Dharwad,West PS,LOC076,Under Investigation,OFF01666,VIC01166
FIR00105,Drug Offense,2024-04-09,Kalaburagi,North PS,LOC043,Under Investigation,OFF01929,VIC02082
FIR00106,Drug Offense,2023-04-28,Mangaluru,Cyber PS,LOC061,Open,OFF01193,VIC01215
FIR00107,Assault,2024-11-13,Vijayapura,Traffic PS,LOC045,Closed,OFF01223,VIC00298
FIR00108,Theft,2025-09-16,Vijayapura,Rural PS,LOC050,Closed,OFF00548,VIC02483
FIR00109,Murder,2022-12-15,Udupi,Traffic PS,LOC049,Closed,OFF01881,VIC02501
FIR00110,Domestic Violence,2022-03-27,Hassan,West PS,LOC041,Under Investigation,OFF01643,VIC00785
FIR00111,Vehicle Theft,2025-07-04,Shivamogga,South PS,LOC030,Open,OFF01856,VIC02788
FIR00112,Assault,2023-03-02,Davanagere,Cyber PS,LOC087,Closed,OFF01339,VIC02342
FIR00113,Domestic Violence,2025-06-11,Hassan,West PS,LOC094,Closed,OFF00917,VIC00195
FIR00114,Theft,2023-12-29,Udupi,Cyber PS,LOC092,Under Investigation,OFF01932,VIC02327
FIR00115,Burglary,2024-12-12,Hassan,East PS,LOC055,Open,OFF01575,VIC02259
FIR00116,Cyber Crime,2022-05-05,Chikkamagaluru,North PS,LOC077,Open,OFF01120,VIC02017
FIR00117,Cyber Crime,2024-03-13,Tumakuru,East PS,LOC058,Under Investigation,OFF01564,VIC00980
FIR00118,Domestic Violence,2025-02-12,Bengaluru Rural,North PS,LOC004,Under Investigation,OFF01633,VIC00363
FIR00119,Kidnapping,2023-06-20,Hassan,East PS,LOC055,Under Investigation,OFF00289,VIC02239
FIR00120,Burglary,2025-08-11,Davanagere,Traffic PS,LOC095,Under Investigation,OFF01201,VIC02307
FIR00121,Assault,2024-10-17,Chikkamagaluru,East PS,LOC003,Under Investigation,OFF01518,VIC01049
FIR00122,Financial Fraud,2024-02-14,Bengaluru Rural,West PS,LOC018,Open,OFF00076,VIC01351
FIR00123,Robbery,2025-08-19,Mangaluru,Cyber PS,LOC061,Closed,OFF00868,VIC02844
FIR00124,Burglary,2023-05-12,Tumakuru,North PS,LOC005,Under Investigation,OFF01124,VIC01962
FIR00125,Financial Fraud,2022-10-17,Bengaluru Rural,West PS,LOC028,Closed,OFF00913,VIC01837
FIR00126,Cyber Crime,2025-10-20,Hubballi-Dharwad,North PS,LOC039,Under Investigation,OFF00631,VIC00599
FIR00127,Murder,2024-12-04,Bengaluru Rural,North PS,LOC046,Under Investigation,OFF00043,VIC02073
FIR00128,Financial Fraud,2025-09-27,Hubballi-Dharwad,Central PS,LOC085,Closed,OFF01325,VIC01060
FIR00129,Burglary,2023-09-02,Mangaluru,West PS,LOC002,Open,OFF00969,VIC00739
FIR00130,Financial Fraud,2024-05-09,Belagavi,Cyber PS,LOC053,Open,OFF00965,VIC02399
