Offender_ID,Victim_ID,FIR_ID,Relationship_Type
OFF01714,VIC01256,FIR00001,Repeat Offender
OFF01979,VIC01076,FIR00002,Known Associate
OFF00132,VIC02503,FIR00003,Known Associate
OFF01397,VIC02146,FIR00004,Direct Involvement
OFF00904,VIC00510,FIR00005,Known Associate
OFF01573,VIC01952,FIR00006,Repeat Offender
OFF01840,VIC02683,FIR00007,Known Associate
OFF00308,VIC00168,FIR00008,Known Associate
OFF00861,VIC00602,FIR00009,Repeat Offender
OFF01455,VIC01103,FIR00010,Known Associate
OFF01239,VIC00042,FIR00011,Known Associate
OFF01852,VIC02224,FIR00012,Direct Involvement
OFF00908,VIC00434,FIR00013,Known Associate
OFF01005,VIC00471,FIR00014,Direct Involvement
OFF00692,VIC02380,FIR00015,Direct Involvement
OFF01544,VIC02608,FIR00016,Repeat Offender
OFF00020,VIC02797,FIR00017,Known Associate
OFF01081,VIC00804,FIR00018,Known Associate
OFF00954,VIC01071,FIR00019,Repeat Offender
OFF01625,VIC02720,FIR00020,Direct Involvement
OFF01665,VIC01867,FIR00021,Repeat Offender
OFF01233,VIC01213,FIR00022,Repeat Offender
OFF00390,VIC01231,FIR00023,Known Associate
OFF01850,VIC00656,FIR00024,Direct Involvement
OFF01411,VIC01804,FIR00025,Repeat Offender
OFF00621,VIC02283,FIR00026,Repeat Offender
OFF00485,VIC02930,FIR00027,Direct Involvement
OFF00181,VIC01138,FIR00028,Known Associate
OFF01785,VIC01862,FIR00029,Direct Involvement
OFF00037,VIC02361,FIR00030,Direct Involvement
OFF01696,VIC01581,FIR00031,Repeat Offender
OFF01853,VIC01158,FIR00032,Known Associate
OFF01012,VIC02735,FIR00033,Repeat Offender
OFF01912,VIC01892,FIR00034,Direct Involvement
OFF01418,VIC02825,FIR00035,Known Associate
OFF01632,VIC02405,FIR00036,Repeat Offender
OFF01444,VIC02044,FIR00037,Known Associate
OFF01663,VIC00698,FIR00038,Repeat Offender
OFF00193,VIC01029,FIR00039,Known Associate
OFF01929,VIC02591,FIR00040,Repeat Offender
OFF01993,VIC00089,FIR00041,Repeat Offender
OFF01889,VIC02561,FIR00042,Known Associate
OFF00855,VIC00380,FIR00043,Direct Involvement
OFF00082,VIC01402,FIR00044,Known Associate
OFF01403,VIC00067,FIR00045,Direct Involvement
OFF00155,VIC02598,FIR00046,Known Associate
OFF01089,VIC02206,FIR00047,Direct Involvement
OFF01655,VIC00151,FIR00048,Direct Involvement
OFF01661,VIC02770,FIR00049,Known Associate
OFF00573,VIC00064,FIR00050,Known Associate
OFF00171,VIC00073,FIR00051,Repeat Offender
OFF01922,VIC00029,FIR00052,Direct Involvement
OFF01701,VIC02625,FIR00053,Direct Involvement
OFF01743,VIC01551,FIR00054,Known Associate
OFF00886,VIC00627,FIR00055,Direct Involvement
OFF00788,VIC02095,FIR00056,Direct Involvement
OFF01364,VIC00839,FIR00057,Repeat Offender
OFF00515,VIC00122,FIR00058,Repeat Offender
OFF00522,VIC02446,FIR00059,Known Associate
OFF00731,VIC01869,FIR00060,Repeat Offender
OFF00527,VIC02592,FIR00061,Known Associate
OFF00929,VIC02624,FIR00062,Repeat Offender
OFF00977,VIC01377,FIR00063,Repeat Offender
OFF00438,VIC02087,FIR00064,Known Associate
OFF01231,VIC00686,FIR00065,Direct Involvement
OFF01719,VIC00856,FIR00066,Known Associate
OFF01940,VIC01560,FIR00067,Direct Involvement
OFF01785,VIC02320,FIR00068,Known Associate
OFF01228,VIC02722,FIR00069,Repeat Offender
OFF00174,VIC00599,FIR00070,Known Associate
OFF00557,VIC01351,FIR00071,Direct Involvement
OFF00986,VIC02913,FIR00072,Direct Involvement
OFF01575,VIC01111,FIR00073,Known Associate
OFF01045,VIC00577,FIR00074,Known Associate
OFF00108,VIC01525,FIR00075,Known Associate
OFF00961,VIC02703,FIR00076,Repeat Offender
OFF01319,VIC01170,FIR00077,Direct Involvement
OFF01055,VIC00459,FIR00078,Direct Involvement
OFF01922,VIC02058,FIR00079,Direct Involvement
OFF01410,VIC02101,FIR00080,Repeat Offender
OFF00479,VIC01768,FIR00081,Known Associate
OFF01167,VIC01627,FIR00082,Repeat Offender
OFF01577,VIC01178,FIR00083,Repeat Offender
OFF01477,VIC00123,FIR00084,Direct Involvement
OFF01553,VIC00322,FIR00085,Direct Involvement
OFF01795,VIC02425,FIR00086,Direct Involvement
OFF01408,VIC02730,FIR00087,Direct Involvement
OFF01726,VIC01239,FIR00088,Repeat Offender
OFF00933,VIC00836,FIR00089,Direct Involvement
OFF00032,VIC02908,FIR00090,Direct Involvement
OFF01793,VIC02765,FIR00091,Repeat Offender
OFF01934,VIC00896,FIR00092,Known Associate
OFF00906,VIC02157,FIR00093,Direct Involvement
OFF01734,VIC02088,FIR00094,Known Associate
OFF00312,VIC02087,FIR00095,Repeat Offender
OFF01099,VIC01429,FIR00096,Direct Involvement
OFF01839,VIC02732,FIR00097,Known Associate
OFF00276,VIC01368,FIR00098,Repeat Offender
OFF00323,VIC01899,FIR00099,Repeat Offender
OFF01716,VIC02409,FIR00100,Known Associate
OFF01887,VIC00061,FIR00101,Repeat Offender
OFF00517,VIC00589,FIR00102,Known Associate
OFF00264,VIC01958,FIR00103,Known Associate
OFF01666,VIC01166,FIR00104,Direct Involvement
