district,urbanization_index,migration_index,unemployment_rate,literacy_rate,income_index,population_density,source_url,source_note
Kalaburagi,,,,64.85,,234.35,https://en.wikipedia.org/wiki/Kalaburagi_district,"Public district demographic page citing Census 2011; blank fields were not available in the same source."
Ballari,,,,67.85,,290,https://en.wikipedia.org/wiki/Bellary_district,"Public district demographic page citing Census 2011; blank fields were not available in the same source."
Vijayapura,,,,67.2,,207.40,https://en.wikipedia.org/wiki/Vijayapura_district,"Public district demographic page citing Census 2011; blank fields were not available in the same source."
Mangaluru,,,,88.62,,457,https://en.wikipedia.org/wiki/Dakshina_Kannada,"Public district demographic page citing Census 2011; Mangaluru FIR district is mapped to Dakshina Kannada district."
Belagavi,,,,73.94,,356.29,https://en.wikipedia.org/wiki/Belagavi_district,"Public district demographic page citing Census 2011; blank fields were not available in the same source."
Bengaluru Rural,,,,78.29,,431.2,https://en.wikipedia.org/wiki/Bengaluru_Rural_district,"Public district demographic page citing Census 2011; blank fields were not available in the same source."
Mysuru,,,,72.56,,437.9,https://en.wikipedia.org/wiki/Mysore_district,"Public district demographic page citing Census 2011; Mysuru district page uses the historic Mysore page title."
Chikkamagaluru,,,,79.24,,158.0,https://en.wikipedia.org/wiki/Chikmagalur_district,"Public district demographic page citing Census 2011; Chikkamagaluru page uses the historic Chikmagalur page title."
Tumakuru,,,,75.14,,252.81,https://en.wikipedia.org/wiki/Tumakuru_district,"Public district demographic page citing Census 2011; blank fields were not available in the same source."
Davanagere,,,,76.3,,368,https://en.wikipedia.org/wiki/Davanagere_district,"Public district demographic page citing Census 2011; blank fields were not available in the same source."
Shivamogga,,,,80.5,,207,https://en.wikipedia.org/wiki/Shimoga_district,"Public district demographic page citing Census 2011; Shivamogga page uses the historic Shimoga page title."
Hubballi-Dharwad,,,,80.3,,433.1,https://en.wikipedia.org/wiki/Dharwad_district,"Public district demographic page citing Census 2011; Hubballi-Dharwad FIR district is mapped to Dharwad district."
Udupi,,,,86.29,,303,https://en.wikipedia.org/wiki/Udupi_district,"Public district demographic page citing Census 2011; blank fields were not available in the same source."
Bengaluru Urban,,,,88.48,,4381,https://en.wikipedia.org/wiki/Bengaluru_Urban_district,"Public district demographic page citing Census 2011; blank fields were not available in the same source."
Hassan,,,,75.89,,259.5,https://en.wikipedia.org/wiki/Hassan_district,"Public district demographic page citing Census 2011; blank fields were not available in the same source."
